时间, 传感器, 数值, 单位
2026-03-02 22:45:54, 温度, 17, ℃
2026-03-02 22:45:54, 湿度, 80, rh%
2026-03-02 22:45:54, 二氧化碳, 1316, ppm
2026-03-02 22:45:54, 火焰强度, 957, level
2026-03-02 22:45:54, 亮度, 73, lux
2026-03-02 22:46:04, 温度, 17, ℃
2026-03-02 22:46:04, 湿度, 80, rh%
2026-03-02 22:46:04, 二氧化碳, 1316, ppm
2026-03-02 22:46:04, 火焰强度, 957, level
2026-03-02 22:46:04, 亮度, 73, lux
2026-03-02 22:46:14, 温度, 17, ℃
2026-03-02 22:46:14, 湿度, 80, rh%
2026-03-02 22:46:14, 二氧化碳, 1316, ppm
2026-03-02 22:46:14, 火焰强度, 957, level
2026-03-02 22:46:14, 亮度, 73, lux
2026-03-02 22:46:24, 温度, 17, ℃
2026-03-02 22:46:24, 湿度, 80, rh%
2026-03-02 22:46:24, 二氧化碳, 1316, ppm
2026-03-02 22:46:24, 火焰强度, 957, level
2026-03-02 22:46:24, 亮度, 73, lux
2026-03-02 22:46:34, 温度, 17, ℃
2026-03-02 22:46:34, 湿度, 80, rh%
2026-03-02 22:46:34, 二氧化碳, 1316, ppm
2026-03-02 22:46:34, 火焰强度, 957, level
2026-03-02 22:46:34, 亮度, 73, lux
2026-03-02 22:46:44, 温度, 17, ℃
2026-03-02 22:46:44, 湿度, 80, rh%
2026-03-02 22:46:44, 二氧化碳, 1316, ppm
2026-03-02 22:46:44, 火焰强度, 957, level
2026-03-02 22:46:44, 亮度, 73, lux
2026-03-02 22:46:54, 温度, 17, ℃
2026-03-02 22:46:54, 湿度, 80, rh%
2026-03-02 22:46:54, 二氧化碳, 1316, ppm
2026-03-02 22:46:54, 火焰强度, 957, level
2026-03-02 22:46:54, 亮度, 73, lux
2026-03-02 22:47:04, 温度, 17, ℃
2026-03-02 22:47:04, 湿度, 80, rh%
2026-03-02 22:47:04, 二氧化碳, 1316, ppm
2026-03-02 22:47:04, 火焰强度, 957, level
2026-03-02 22:47:04, 亮度, 73, lux
2026-03-02 22:47:14, 温度, 17, ℃
2026-03-02 22:47:14, 湿度, 80, rh%
2026-03-02 22:47:14, 二氧化碳, 1316, ppm
2026-03-02 22:47:14, 火焰强度, 957, level
2026-03-02 22:47:14, 亮度, 73, lux
2026-03-02 22:47:24, 温度, 17, ℃
2026-03-02 22:47:24, 湿度, 80, rh%
2026-03-02 22:47:24, 二氧化碳, 1316, ppm
2026-03-02 22:47:24, 火焰强度, 957, level
2026-03-02 22:47:24, 亮度, 73, lux
2026-03-02 22:47:34, 温度, 17, ℃
2026-03-02 22:47:34, 湿度, 80, rh%
2026-03-02 22:47:34, 二氧化碳, 1316, ppm
2026-03-02 22:47:34, 火焰强度, 957, level
2026-03-02 22:47:34, 亮度, 73, lux
2026-03-02 22:47:44, 温度, 17, ℃
2026-03-02 22:47:44, 湿度, 80, rh%
2026-03-02 22:47:44, 二氧化碳, 1316, ppm
2026-03-02 22:47:44, 火焰强度, 957, level
2026-03-02 22:47:44, 亮度, 73, lux
2026-03-02 22:47:54, 温度, 17, ℃
2026-03-02 22:47:54, 湿度, 80, rh%
2026-03-02 22:47:54, 二氧化碳, 1316, ppm
2026-03-02 22:47:54, 火焰强度, 957, level
2026-03-02 22:47:54, 亮度, 73, lux
2026-03-02 22:48:04, 温度, 17, ℃
2026-03-02 22:48:04, 湿度, 80, rh%
2026-03-02 22:48:04, 二氧化碳, 1316, ppm
2026-03-02 22:48:04, 火焰强度, 957, level
2026-03-02 22:48:04, 亮度, 73, lux
2026-03-02 22:48:14, 温度, 17, ℃
2026-03-02 22:48:14, 湿度, 80, rh%
2026-03-02 22:48:14, 二氧化碳, 1316, ppm
2026-03-02 22:48:14, 火焰强度, 957, level
2026-03-02 22:48:14, 亮度, 73, lux
2026-03-02 22:48:24, 温度, 17, ℃
2026-03-02 22:48:24, 湿度, 80, rh%
2026-03-02 22:48:24, 二氧化碳, 1316, ppm
2026-03-02 22:48:24, 火焰强度, 957, level
2026-03-02 22:48:24, 亮度, 73, lux
2026-03-02 22:48:34, 温度, 17, ℃
2026-03-02 22:48:34, 湿度, 80, rh%
2026-03-02 22:48:34, 二氧化碳, 1316, ppm
2026-03-02 22:48:34, 火焰强度, 957, level
2026-03-02 22:48:34, 亮度, 73, lux
2026-03-02 22:48:44, 温度, 17, ℃
2026-03-02 22:48:44, 湿度, 80, rh%
2026-03-02 22:48:44, 二氧化碳, 1316, ppm
2026-03-02 22:48:44, 火焰强度, 957, level
2026-03-02 22:48:44, 亮度, 73, lux
2026-03-02 22:48:54, 温度, 17, ℃
2026-03-02 22:48:54, 湿度, 80, rh%
2026-03-02 22:48:54, 二氧化碳, 1316, ppm
2026-03-02 22:48:54, 火焰强度, 957, level
2026-03-02 22:48:54, 亮度, 73, lux
2026-03-02 22:49:04, 温度, 17, ℃
2026-03-02 22:49:04, 湿度, 80, rh%
2026-03-02 22:49:04, 二氧化碳, 1316, ppm
2026-03-02 22:49:04, 火焰强度, 957, level
2026-03-02 22:49:04, 亮度, 73, lux
2026-03-02 22:49:14, 温度, 17, ℃
2026-03-02 22:49:14, 湿度, 80, rh%
2026-03-02 22:49:14, 二氧化碳, 1316, ppm
2026-03-02 22:49:14, 火焰强度, 957, level
2026-03-02 22:49:14, 亮度, 73, lux
2026-03-02 22:49:24, 温度, 17, ℃
2026-03-02 22:49:24, 湿度, 80, rh%
2026-03-02 22:49:24, 二氧化碳, 1316, ppm
2026-03-02 22:49:24, 火焰强度, 957, level
2026-03-02 22:49:24, 亮度, 73, lux
2026-03-02 22:49:35, 温度, 17, ℃
2026-03-02 22:49:35, 湿度, 80, rh%
2026-03-02 22:49:35, 二氧化碳, 1316, ppm
2026-03-02 22:49:35, 火焰强度, 957, level
2026-03-02 22:49:35, 亮度, 73, lux
2026-03-02 22:49:45, 温度, 17, ℃
2026-03-02 22:49:45, 湿度, 80, rh%
2026-03-02 22:49:45, 二氧化碳, 1316, ppm
2026-03-02 22:49:45, 火焰强度, 957, level
2026-03-02 22:49:45, 亮度, 73, lux
2026-03-02 22:49:55, 温度, 17, ℃
2026-03-02 22:49:55, 湿度, 80, rh%
2026-03-02 22:49:55, 二氧化碳, 1316, ppm
2026-03-02 22:49:55, 火焰强度, 957, level
2026-03-02 22:49:55, 亮度, 73, lux
2026-03-02 22:50:05, 温度, 17, ℃
2026-03-02 22:50:05, 湿度, 80, rh%
2026-03-02 22:50:05, 二氧化碳, 1316, ppm
2026-03-02 22:50:05, 火焰强度, 957, level
2026-03-02 22:50:05, 亮度, 73, lux
2026-03-02 22:50:15, 温度, 17, ℃
2026-03-02 22:50:15, 湿度, 80, rh%
2026-03-02 22:50:15, 二氧化碳, 1316, ppm
2026-03-02 22:50:15, 火焰强度, 957, level
2026-03-02 22:50:15, 亮度, 73, lux
2026-03-02 22:50:25, 温度, 17, ℃
2026-03-02 22:50:25, 湿度, 80, rh%
2026-03-02 22:50:25, 二氧化碳, 1316, ppm
2026-03-02 22:50:25, 火焰强度, 957, level
2026-03-02 22:50:25, 亮度, 73, lux
2026-03-02 22:50:35, 温度, 17, ℃
2026-03-02 22:50:35, 湿度, 80, rh%
2026-03-02 22:50:35, 二氧化碳, 1316, ppm
2026-03-02 22:50:35, 火焰强度, 957, level
2026-03-02 22:50:35, 亮度, 73, lux
2026-03-02 22:50:45, 温度, 17, ℃
2026-03-02 22:50:45, 湿度, 80, rh%
2026-03-02 22:50:45, 二氧化碳, 1316, ppm
2026-03-02 22:50:45, 火焰强度, 957, level
2026-03-02 22:50:45, 亮度, 73, lux
2026-03-02 22:50:55, 温度, 17, ℃
2026-03-02 22:50:55, 湿度, 80, rh%
2026-03-02 22:50:55, 二氧化碳, 1316, ppm
2026-03-02 22:50:55, 火焰强度, 957, level
2026-03-02 22:50:55, 亮度, 73, lux
2026-03-02 22:51:05, 温度, 17, ℃
2026-03-02 22:51:05, 湿度, 80, rh%
2026-03-02 22:51:05, 二氧化碳, 1316, ppm
2026-03-02 22:51:05, 火焰强度, 957, level
2026-03-02 22:51:05, 亮度, 73, lux
2026-03-02 22:51:15, 温度, 17, ℃
2026-03-02 22:51:15, 湿度, 80, rh%
2026-03-02 22:51:15, 二氧化碳, 1316, ppm
2026-03-02 22:51:15, 火焰强度, 957, level
2026-03-02 22:51:15, 亮度, 73, lux
2026-03-02 22:51:25, 温度, 17, ℃
2026-03-02 22:51:25, 湿度, 80, rh%
2026-03-02 22:51:25, 二氧化碳, 1316, ppm
2026-03-02 22:51:25, 火焰强度, 957, level
2026-03-02 22:51:25, 亮度, 73, lux
2026-03-02 22:51:35, 温度, 17, ℃
2026-03-02 22:51:35, 湿度, 80, rh%
2026-03-02 22:51:35, 二氧化碳, 1316, ppm
2026-03-02 22:51:35, 火焰强度, 957, level
2026-03-02 22:51:35, 亮度, 73, lux
2026-03-02 22:51:45, 温度, 17, ℃
2026-03-02 22:51:45, 湿度, 80, rh%
2026-03-02 22:51:45, 二氧化碳, 1316, ppm
2026-03-02 22:51:45, 火焰强度, 957, level
2026-03-02 22:51:45, 亮度, 73, lux
2026-03-02 22:51:55, 温度, 17, ℃
2026-03-02 22:51:55, 湿度, 80, rh%
2026-03-02 22:51:55, 二氧化碳, 1316, ppm
2026-03-02 22:51:55, 火焰强度, 957, level
2026-03-02 22:51:55, 亮度, 73, lux
2026-03-02 22:52:05, 温度, 17, ℃
2026-03-02 22:52:05, 湿度, 80, rh%
2026-03-02 22:52:05, 二氧化碳, 1316, ppm
2026-03-02 22:52:05, 火焰强度, 957, level
2026-03-02 22:52:05, 亮度, 73, lux
2026-03-02 22:52:15, 温度, 17, ℃
2026-03-02 22:52:15, 湿度, 80, rh%
2026-03-02 22:52:15, 二氧化碳, 1316, ppm
2026-03-02 22:52:15, 火焰强度, 957, level
2026-03-02 22:52:15, 亮度, 73, lux
2026-03-02 22:52:25, 温度, 17, ℃
2026-03-02 22:52:25, 湿度, 80, rh%
2026-03-02 22:52:25, 二氧化碳, 1316, ppm
2026-03-02 22:52:25, 火焰强度, 957, level
2026-03-02 22:52:25, 亮度, 73, lux
2026-03-02 22:52:35, 温度, 17, ℃
2026-03-02 22:52:35, 湿度, 80, rh%
2026-03-02 22:52:35, 二氧化碳, 1316, ppm
2026-03-02 22:52:35, 火焰强度, 957, level
2026-03-02 22:52:35, 亮度, 73, lux
2026-03-02 22:52:45, 温度, 17, ℃
2026-03-02 22:52:45, 湿度, 80, rh%
2026-03-02 22:52:45, 二氧化碳, 1316, ppm
2026-03-02 22:52:45, 火焰强度, 957, level
2026-03-02 22:52:45, 亮度, 73, lux
2026-03-02 22:52:55, 温度, 17, ℃
2026-03-02 22:52:55, 湿度, 80, rh%
2026-03-02 22:52:55, 二氧化碳, 1316, ppm
2026-03-02 22:52:55, 火焰强度, 957, level
2026-03-02 22:52:55, 亮度, 73, lux
2026-03-02 22:53:05, 温度, 17, ℃
2026-03-02 22:53:05, 湿度, 80, rh%
2026-03-02 22:53:05, 二氧化碳, 1316, ppm
2026-03-02 22:53:05, 火焰强度, 957, level
2026-03-02 22:53:05, 亮度, 73, lux
2026-03-02 22:53:15, 温度, 17, ℃
2026-03-02 22:53:15, 湿度, 80, rh%
2026-03-02 22:53:15, 二氧化碳, 1316, ppm
2026-03-02 22:53:15, 火焰强度, 957, level
2026-03-02 22:53:15, 亮度, 73, lux
2026-03-02 22:53:25, 温度, 17, ℃
2026-03-02 22:53:25, 湿度, 80, rh%
2026-03-02 22:53:25, 二氧化碳, 1316, ppm
2026-03-02 22:53:25, 火焰强度, 957, level
2026-03-02 22:53:25, 亮度, 73, lux
2026-03-02 22:53:35, 温度, 17, ℃
2026-03-02 22:53:35, 湿度, 80, rh%
2026-03-02 22:53:35, 二氧化碳, 1316, ppm
2026-03-02 22:53:35, 火焰强度, 957, level
2026-03-02 22:53:35, 亮度, 73, lux
2026-03-02 22:53:45, 温度, 17, ℃
2026-03-02 22:53:45, 湿度, 80, rh%
2026-03-02 22:53:45, 二氧化碳, 1316, ppm
2026-03-02 22:53:45, 火焰强度, 957, level
2026-03-02 22:53:45, 亮度, 73, lux
2026-03-02 22:53:55, 温度, 17, ℃
2026-03-02 22:53:55, 湿度, 80, rh%
2026-03-02 22:53:55, 二氧化碳, 1316, ppm
2026-03-02 22:53:55, 火焰强度, 957, level
2026-03-02 22:53:55, 亮度, 73, lux
2026-03-02 22:54:05, 温度, 17, ℃
2026-03-02 22:54:05, 湿度, 80, rh%
2026-03-02 22:54:05, 二氧化碳, 1316, ppm
2026-03-02 22:54:05, 火焰强度, 957, level
2026-03-02 22:54:05, 亮度, 73, lux
2026-03-02 22:54:15, 温度, 17, ℃
2026-03-02 22:54:15, 湿度, 80, rh%
2026-03-02 22:54:15, 二氧化碳, 1316, ppm
2026-03-02 22:54:15, 火焰强度, 957, level
2026-03-02 22:54:15, 亮度, 73, lux
2026-03-02 22:54:26, 温度, 17, ℃
2026-03-02 22:54:26, 湿度, 80, rh%
2026-03-02 22:54:26, 二氧化碳, 1316, ppm
2026-03-02 22:54:26, 火焰强度, 957, level
2026-03-02 22:54:26, 亮度, 73, lux
2026-03-02 22:54:36, 温度, 17, ℃
2026-03-02 22:54:36, 湿度, 80, rh%
2026-03-02 22:54:36, 二氧化碳, 1316, ppm
2026-03-02 22:54:36, 火焰强度, 957, level
2026-03-02 22:54:36, 亮度, 73, lux
2026-03-02 22:54:46, 温度, 17, ℃
2026-03-02 22:54:46, 湿度, 80, rh%
2026-03-02 22:54:46, 二氧化碳, 1316, ppm
2026-03-02 22:54:46, 火焰强度, 957, level
2026-03-02 22:54:46, 亮度, 73, lux
2026-03-02 22:54:56, 温度, 17, ℃
2026-03-02 22:54:56, 湿度, 80, rh%
2026-03-02 22:54:56, 二氧化碳, 1316, ppm
2026-03-02 22:54:56, 火焰强度, 957, level
2026-03-02 22:54:56, 亮度, 73, lux
2026-03-02 22:55:06, 温度, 17, ℃
2026-03-02 22:55:06, 湿度, 80, rh%
2026-03-02 22:55:06, 二氧化碳, 1316, ppm
2026-03-02 22:55:06, 火焰强度, 957, level
2026-03-02 22:55:06, 亮度, 73, lux
2026-03-02 22:55:16, 温度, 17, ℃
2026-03-02 22:55:16, 湿度, 80, rh%
2026-03-02 22:55:16, 二氧化碳, 1316, ppm
2026-03-02 22:55:16, 火焰强度, 957, level
2026-03-02 22:55:16, 亮度, 73, lux
2026-03-02 22:55:26, 温度, 17, ℃
2026-03-02 22:55:26, 湿度, 80, rh%
2026-03-02 22:55:26, 二氧化碳, 1316, ppm
2026-03-02 22:55:26, 火焰强度, 957, level
2026-03-02 22:55:26, 亮度, 73, lux
2026-03-02 22:55:36, 温度, 17, ℃
2026-03-02 22:55:36, 湿度, 80, rh%
2026-03-02 22:55:36, 二氧化碳, 1316, ppm
2026-03-02 22:55:36, 火焰强度, 957, level
2026-03-02 22:55:36, 亮度, 73, lux
2026-03-02 22:55:46, 温度, 17, ℃
2026-03-02 22:55:46, 湿度, 80, rh%
2026-03-02 22:55:46, 二氧化碳, 1316, ppm
2026-03-02 22:55:46, 火焰强度, 957, level
2026-03-02 22:55:46, 亮度, 73, lux
2026-03-02 22:55:56, 温度, 17, ℃
2026-03-02 22:55:56, 湿度, 80, rh%
2026-03-02 22:55:56, 二氧化碳, 1316, ppm
2026-03-02 22:55:56, 火焰强度, 957, level
2026-03-02 22:55:56, 亮度, 73, lux
2026-03-02 22:56:06, 温度, 17, ℃
2026-03-02 22:56:06, 湿度, 80, rh%
2026-03-02 22:56:06, 二氧化碳, 1316, ppm
2026-03-02 22:56:06, 火焰强度, 957, level
2026-03-02 22:56:06, 亮度, 73, lux
2026-03-02 22:56:16, 温度, 17, ℃
2026-03-02 22:56:16, 湿度, 80, rh%
2026-03-02 22:56:16, 二氧化碳, 1316, ppm
2026-03-02 22:56:16, 火焰强度, 957, level
2026-03-02 22:56:16, 亮度, 73, lux
2026-03-02 22:56:26, 温度, 17, ℃
2026-03-02 22:56:26, 湿度, 80, rh%
2026-03-02 22:56:26, 二氧化碳, 1316, ppm
2026-03-02 22:56:26, 火焰强度, 957, level
2026-03-02 22:56:26, 亮度, 73, lux
2026-03-02 22:56:36, 温度, 17, ℃
2026-03-02 22:56:36, 湿度, 80, rh%
2026-03-02 22:56:36, 二氧化碳, 1316, ppm
2026-03-02 22:56:36, 火焰强度, 957, level
2026-03-02 22:56:36, 亮度, 73, lux
2026-03-02 22:56:46, 温度, 17, ℃
2026-03-02 22:56:46, 湿度, 80, rh%
2026-03-02 22:56:46, 二氧化碳, 1316, ppm
2026-03-02 22:56:46, 火焰强度, 957, level
2026-03-02 22:56:46, 亮度, 73, lux
2026-03-02 22:56:56, 温度, 17, ℃
2026-03-02 22:56:56, 湿度, 80, rh%
2026-03-02 22:56:56, 二氧化碳, 1316, ppm
2026-03-02 22:56:56, 火焰强度, 957, level
2026-03-02 22:56:56, 亮度, 73, lux
2026-03-02 22:57:06, 温度, 17, ℃
2026-03-02 22:57:06, 湿度, 80, rh%
2026-03-02 22:57:06, 二氧化碳, 1316, ppm
2026-03-02 22:57:06, 火焰强度, 957, level
2026-03-02 22:57:06, 亮度, 73, lux
2026-03-02 22:57:16, 温度, 17, ℃
2026-03-02 22:57:16, 湿度, 80, rh%
2026-03-02 22:57:16, 二氧化碳, 1316, ppm
2026-03-02 22:57:16, 火焰强度, 957, level
2026-03-02 22:57:16, 亮度, 73, lux
2026-03-02 22:57:26, 温度, 17, ℃
2026-03-02 22:57:26, 湿度, 80, rh%
2026-03-02 22:57:26, 二氧化碳, 1316, ppm
2026-03-02 22:57:26, 火焰强度, 957, level
2026-03-02 22:57:26, 亮度, 73, lux
2026-03-02 22:57:36, 温度, 17, ℃
2026-03-02 22:57:36, 湿度, 80, rh%
2026-03-02 22:57:36, 二氧化碳, 1316, ppm
2026-03-02 22:57:36, 火焰强度, 957, level
2026-03-02 22:57:36, 亮度, 73, lux
2026-03-02 22:57:46, 温度, 17, ℃
2026-03-02 22:57:46, 湿度, 80, rh%
2026-03-02 22:57:46, 二氧化碳, 1316, ppm
2026-03-02 22:57:46, 火焰强度, 957, level
2026-03-02 22:57:46, 亮度, 73, lux
2026-03-02 22:57:56, 温度, 17, ℃
2026-03-02 22:57:56, 湿度, 80, rh%
2026-03-02 22:57:56, 二氧化碳, 1316, ppm
2026-03-02 22:57:56, 火焰强度, 957, level
2026-03-02 22:57:56, 亮度, 73, lux
2026-03-02 22:58:06, 温度, 17, ℃
2026-03-02 22:58:06, 湿度, 80, rh%
2026-03-02 22:58:06, 二氧化碳, 1316, ppm
2026-03-02 22:58:06, 火焰强度, 957, level
2026-03-02 22:58:06, 亮度, 73, lux
2026-03-02 22:58:16, 温度, 17, ℃
2026-03-02 22:58:16, 湿度, 80, rh%
2026-03-02 22:58:16, 二氧化碳, 1316, ppm
2026-03-02 22:58:16, 火焰强度, 957, level
2026-03-02 22:58:16, 亮度, 73, lux
2026-03-02 22:58:26, 温度, 17, ℃
2026-03-02 22:58:26, 湿度, 80, rh%
2026-03-02 22:58:26, 二氧化碳, 1316, ppm
2026-03-02 22:58:26, 火焰强度, 957, level
2026-03-02 22:58:26, 亮度, 73, lux
2026-03-02 22:58:36, 温度, 17, ℃
2026-03-02 22:58:36, 湿度, 80, rh%
2026-03-02 22:58:36, 二氧化碳, 1316, ppm
2026-03-02 22:58:36, 火焰强度, 957, level
2026-03-02 22:58:36, 亮度, 73, lux
2026-03-02 22:58:46, 温度, 17, ℃
2026-03-02 22:58:46, 湿度, 80, rh%
2026-03-02 22:58:46, 二氧化碳, 1316, ppm
2026-03-02 22:58:46, 火焰强度, 957, level
2026-03-02 22:58:46, 亮度, 73, lux
2026-03-02 22:58:56, 温度, 17, ℃
2026-03-02 22:58:56, 湿度, 80, rh%
2026-03-02 22:58:56, 二氧化碳, 1316, ppm
2026-03-02 22:58:56, 火焰强度, 957, level
2026-03-02 22:58:56, 亮度, 73, lux
2026-03-02 22:59:06, 温度, 17, ℃
2026-03-02 22:59:06, 湿度, 80, rh%
2026-03-02 22:59:06, 二氧化碳, 1316, ppm
2026-03-02 22:59:06, 火焰强度, 957, level
2026-03-02 22:59:06, 亮度, 73, lux
2026-03-02 22:59:17, 温度, 17, ℃
2026-03-02 22:59:17, 湿度, 80, rh%
2026-03-02 22:59:17, 二氧化碳, 1316, ppm
2026-03-02 22:59:17, 火焰强度, 957, level
2026-03-02 22:59:17, 亮度, 73, lux
2026-03-02 22:59:27, 温度, 17, ℃
2026-03-02 22:59:27, 湿度, 80, rh%
2026-03-02 22:59:27, 二氧化碳, 1316, ppm
2026-03-02 22:59:27, 火焰强度, 957, level
2026-03-02 22:59:27, 亮度, 73, lux
2026-03-02 22:59:37, 温度, 17, ℃
2026-03-02 22:59:37, 湿度, 80, rh%
2026-03-02 22:59:37, 二氧化碳, 1316, ppm
2026-03-02 22:59:37, 火焰强度, 957, level
2026-03-02 22:59:37, 亮度, 73, lux
2026-03-02 22:59:47, 温度, 17, ℃
2026-03-02 22:59:47, 湿度, 80, rh%
2026-03-02 22:59:47, 二氧化碳, 1316, ppm
2026-03-02 22:59:47, 火焰强度, 957, level
2026-03-02 22:59:47, 亮度, 73, lux
2026-03-02 22:59:57, 温度, 17, ℃
2026-03-02 22:59:57, 湿度, 80, rh%
2026-03-02 22:59:57, 二氧化碳, 1316, ppm
2026-03-02 22:59:57, 火焰强度, 957, level
2026-03-02 22:59:57, 亮度, 73, lux
2026-03-02 23:00:07, 温度, 17, ℃
2026-03-02 23:00:07, 湿度, 80, rh%
2026-03-02 23:00:07, 二氧化碳, 1316, ppm
2026-03-02 23:00:07, 火焰强度, 957, level
2026-03-02 23:00:07, 亮度, 73, lux
2026-03-02 23:00:17, 温度, 17, ℃
2026-03-02 23:00:17, 湿度, 80, rh%
2026-03-02 23:00:17, 二氧化碳, 1316, ppm
2026-03-02 23:00:17, 火焰强度, 957, level
2026-03-02 23:00:17, 亮度, 73, lux
2026-03-02 23:00:27, 温度, 17, ℃
2026-03-02 23:00:27, 湿度, 80, rh%
2026-03-02 23:00:27, 二氧化碳, 1316, ppm
2026-03-02 23:00:27, 火焰强度, 957, level
2026-03-02 23:00:27, 亮度, 73, lux
2026-03-02 23:00:37, 温度, 17, ℃
2026-03-02 23:00:37, 湿度, 80, rh%
2026-03-02 23:00:37, 二氧化碳, 1316, ppm
2026-03-02 23:00:37, 火焰强度, 957, level
2026-03-02 23:00:37, 亮度, 73, lux
2026-03-02 23:00:47, 温度, 17, ℃
2026-03-02 23:00:47, 湿度, 80, rh%
2026-03-02 23:00:47, 二氧化碳, 1316, ppm
2026-03-02 23:00:47, 火焰强度, 957, level
2026-03-02 23:00:47, 亮度, 73, lux
2026-03-02 23:00:57, 温度, 17, ℃
2026-03-02 23:00:57, 湿度, 80, rh%
2026-03-02 23:00:57, 二氧化碳, 1316, ppm
2026-03-02 23:00:57, 火焰强度, 957, level
2026-03-02 23:00:57, 亮度, 73, lux
2026-03-02 23:01:07, 温度, 17, ℃
2026-03-02 23:01:07, 湿度, 80, rh%
2026-03-02 23:01:07, 二氧化碳, 1316, ppm
2026-03-02 23:01:07, 火焰强度, 957, level
2026-03-02 23:01:07, 亮度, 73, lux
2026-03-02 23:01:17, 温度, 17, ℃
2026-03-02 23:01:17, 湿度, 80, rh%
2026-03-02 23:01:17, 二氧化碳, 1316, ppm
2026-03-02 23:01:17, 火焰强度, 957, level
2026-03-02 23:01:17, 亮度, 73, lux
2026-03-02 23:01:27, 温度, 17, ℃
2026-03-02 23:01:27, 湿度, 80, rh%
2026-03-02 23:01:27, 二氧化碳, 1316, ppm
2026-03-02 23:01:27, 火焰强度, 957, level
2026-03-02 23:01:27, 亮度, 73, lux
2026-03-02 23:01:37, 温度, 17, ℃
2026-03-02 23:01:37, 湿度, 80, rh%
2026-03-02 23:01:37, 二氧化碳, 1316, ppm
2026-03-02 23:01:37, 火焰强度, 957, level
2026-03-02 23:01:37, 亮度, 73, lux
2026-03-02 23:01:47, 温度, 17, ℃
2026-03-02 23:01:47, 湿度, 80, rh%
2026-03-02 23:01:47, 二氧化碳, 1316, ppm
2026-03-02 23:01:47, 火焰强度, 957, level
2026-03-02 23:01:47, 亮度, 73, lux
2026-03-02 23:01:57, 温度, 17, ℃
2026-03-02 23:01:57, 湿度, 80, rh%
2026-03-02 23:01:57, 二氧化碳, 1316, ppm
2026-03-02 23:01:57, 火焰强度, 957, level
2026-03-02 23:01:57, 亮度, 73, lux
2026-03-02 23:02:07, 温度, 17, ℃
2026-03-02 23:02:07, 湿度, 80, rh%
2026-03-02 23:02:07, 二氧化碳, 1316, ppm
2026-03-02 23:02:07, 火焰强度, 1, level
2026-03-02 23:02:07, 亮度, 73, lux
2026-03-02 23:02:17, 温度, 17, ℃
2026-03-02 23:02:17, 湿度, 80, rh%
2026-03-02 23:02:17, 二氧化碳, 1316, ppm
2026-03-02 23:02:17, 火焰强度, 485, level
2026-03-02 23:02:17, 亮度, 73, lux
2026-03-02 23:02:27, 温度, 17, ℃
2026-03-02 23:02:27, 湿度, 80, rh%
2026-03-02 23:02:27, 二氧化碳, 1316, ppm
2026-03-02 23:02:27, 火焰强度, 1, level
2026-03-02 23:02:27, 亮度, 73, lux
2026-03-02 23:02:37, 温度, 17, ℃
2026-03-02 23:02:37, 湿度, 80, rh%
2026-03-02 23:02:37, 二氧化碳, 1316, ppm
2026-03-02 23:02:37, 火焰强度, 1, level
2026-03-02 23:02:37, 亮度, 73, lux
2026-03-02 23:02:47, 温度, 17, ℃
2026-03-02 23:02:47, 湿度, 80, rh%
2026-03-02 23:02:47, 二氧化碳, 417, ppm
2026-03-02 23:02:47, 火焰强度, 1, level
2026-03-02 23:02:47, 亮度, 73, lux
2026-03-02 23:02:57, 温度, 17, ℃
2026-03-02 23:02:57, 湿度, 80, rh%
2026-03-02 23:02:57, 二氧化碳, 417, ppm
2026-03-02 23:02:57, 火焰强度, 1, level
2026-03-02 23:02:57, 亮度, 73, lux
2026-03-02 23:03:07, 温度, 17, ℃
2026-03-02 23:03:07, 湿度, 80, rh%
2026-03-02 23:03:07, 二氧化碳, 417, ppm
2026-03-02 23:03:07, 火焰强度, 1, level
2026-03-02 23:03:07, 亮度, 73, lux
2026-03-02 23:03:17, 温度, 17, ℃
2026-03-02 23:03:17, 湿度, 80, rh%
2026-03-02 23:03:17, 二氧化碳, 417, ppm
2026-03-02 23:03:17, 火焰强度, 1, level
2026-03-02 23:03:17, 亮度, 73, lux
2026-03-02 23:03:27, 温度, 17, ℃
2026-03-02 23:03:27, 湿度, 80, rh%
2026-03-02 23:03:27, 二氧化碳, 417, ppm
2026-03-02 23:03:27, 火焰强度, 1, level
2026-03-02 23:03:27, 亮度, 73, lux
2026-03-02 23:03:37, 温度, 17, ℃
2026-03-02 23:03:37, 湿度, 80, rh%
2026-03-02 23:03:37, 二氧化碳, 417, ppm
2026-03-02 23:03:37, 火焰强度, 1, level
2026-03-02 23:03:37, 亮度, 73, lux
2026-03-02 23:03:47, 温度, 17, ℃
2026-03-02 23:03:47, 湿度, 80, rh%
2026-03-02 23:03:47, 二氧化碳, 417, ppm
2026-03-02 23:03:47, 火焰强度, 1, level
2026-03-02 23:03:47, 亮度, 73, lux
2026-03-02 23:03:57, 温度, 17, ℃
2026-03-02 23:03:57, 湿度, 80, rh%
2026-03-02 23:03:57, 二氧化碳, 417, ppm
2026-03-02 23:03:57, 火焰强度, 1, level
2026-03-02 23:03:57, 亮度, 73, lux
2026-03-02 23:04:07, 温度, 17, ℃
2026-03-02 23:04:07, 湿度, 80, rh%
2026-03-02 23:04:07, 二氧化碳, 417, ppm
2026-03-02 23:04:07, 火焰强度, 1, level
2026-03-02 23:04:07, 亮度, 73, lux
